year,zcta,JobsTotal_1,JobsAgriculture_1,JobsEntertainment_1,JobsConstruction_1,JobsHealthcare_1,JobsManufacturing_1,JobsProfessional_1,JobsRealestate_1,JobsTrade_1,JobsTransport_1,population_1,poverty_1,poverty_under18_1,poverty_18to65_1,poverty_over65_1,education_1,work_experience_1,working_fulltime_1,working_fulltime_poverty_1,JobsTotal_0,JobsAgriculture_0,JobsEntertainment_0,JobsConstruction_0,JobsHealthcare_0,JobsManufacturing_0,JobsProfessional_0,JobsRealestate_0,JobsTrade_0,JobsTransport_0,population_0,poverty_0,poverty_under18_0,poverty_18to65_0,poverty_over65_0,education_0,work_experience_0,working_fulltime_0,working_fulltime_poverty_0
2016,1001,-0.0022,0.0,-0.1542,0.1361,-0.0632,-0.0645,-0.0357,0.0,0.0,-0.2877,0.0166,-0.1148,-0.6931,-0.0206,0.0741,0.0097,-0.0048,0.1065,0.0,0.0323,0.0,0.6931,0.0531,-0.022,0.022,0.0,0.087,-0.0513,0.2007,-0.008,0.1618,0.47,0.1178,0.1335,0.0217,0.012,0.02,0.0
2015,1001,0.0424,0.0,0.1542,0.0645,0.1076,0.0426,0.0,0.0,-0.0247,0.087,-0.0049,-0.1029,-0.2624,-0.1155,0.3677,0.0126,0.0097,-0.1265,-0.6931,-0.0022,0.0,-0.1542,0.1361,-0.0632,-0.0645,-0.0357,0.0,0.0,-0.2877,0.0166,-0.1148,-0.6931,-0.0206,0.0741,0.0097,-0.0048,0.1065,0.0
2016,1002,0.0187,0.0,0.069,-0.1335,0.0506,0.4055,0.0255,0.0526,0.0,0.0,0.0157,0.0278,-0.1178,0.0376,0.2231,0.0038,0.008,-0.0146,0.4055,-0.0102,0.0,0.0,-0.0364,0.0,0.2231,-0.0084,-0.1671,-0.1178,-0.5108,0.0023,0.0271,0.08,0.0133,0.47,0.0,-0.0023,0.1625,0.2877
2015,1002,-0.0254,0.0,-0.0351,0.0645,-0.075,0.0,-0.0504,0.1452,0.2513,0.0,0.0268,0.019,-0.2595,0.0464,0.2877,-0.0113,0.0023,-0.07,0.0,0.0187,0.0,0.069,-0.1335,0.0506,0.4055,0.0255,0.0526,0.0,0.0,0.0157,0.0278,-0.1178,0.0376,0.2231,0.0038,0.008,-0.0146,0.4055
2016,1003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4187,3.3883,0.0,3.3883,0.0,0.438,0.3838,-0.3296,0.0,0.1542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5773,0.7837,0.0,0.7837,0.0,0.0939,0.3798,0.2877,0.0
2015,1003,0.1823,0.0,0.4055,0.0,0.4055,0.0,0.6931,0.0,0.0,0.0,-0.052,0.08,0.0,0.08,0.0,0.1181,0.1111,0.2562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4187,3.3883,0.0,3.3883,0.0,0.438,0.3838,-0.3296,0.0
2016,1005,-0.0314,0.0,0.0,0.2412,0.0,-0.2877,0.0606,-0.4055,0.0,-0.2877,0.0148,0.1671,-0.4055,0.2231,0.2877,0.0059,0.0224,0.434,0.0,0.0106,0.6931,0.0,0.1335,0.0,0.2877,-0.0606,0.4055,0.0,0.0,0.0025,-0.1671,-1.3863,-0.0588,-0.1823,0.0321,0.0243,-0.0286,0.0
2015,1005,0.0,0.0,0.0,0.2007,-0.1335,0.2877,0.0645,-0.2877,0.0,0.1335,-0.0515,-0.066,-0.2877,0.1542,-0.4418,0.009,-0.0025,-0.0834,0.0,-0.0314,0.0,0.0,0.2412,0.0,-0.2877,0.0606,-0.4055,0.0,-0.2877,0.0148,0.1671,-0.4055,0.2231,0.2877,0.0059,0.0224,0.434,0.0
2016,1007,-0.0134,0.0,0.0,0.0,0.1431,-0.1335,-0.0339,0.2231,-0.0645,-0.1823,0.0085,0.1671,0.1823,0.1643,0.1823,-0.0148,0.005,0.0817,0.0,0.0266,0.0,-0.5108,0.1823,0.0,0.0,0.0667,0.0,0.0,-0.2231,-0.0006,0.043,0.1054,-0.0308,0.5108,0.0104,0.0025,0.0572,0.0
2015,1007,0.0224,0.0,-0.3365,0.0339,0.0392,-0.1178,0.0339,-0.2231,0.0,0.1823,0.0063,-0.075,0.069,-0.0855,-0.3365,-0.0233,-0.005,-0.1388,0.0,-0.0134,0.0,0.0,0.0,0.1431,-0.1335,-0.0339,0.2231,-0.0645,-0.1823,0.0085,0.1671,0.1823,0.1643,0.1823,-0.0148,0.005,0.0817,0.0
2016,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0344,-0.3514,-0.5878,-0.2776,0.0,0.0359,0.0256,0.1398,0.0,0.1542,0.0,0.4055,0.1823,0.0,0.0,0.0,0.0,0.0,0.0,0.0195,0.076,0.0953,0.0392,0.0,0.0143,0.0103,0.0933,0.0
2015,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0577,0.1603,0.3254,0.0308,0.6931,0.0123,0.0071,0.1924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0344,-0.3514,-0.5878,-0.2776,0.0,0.0359,0.0256,0.1398,0.0
2016,1009,-0.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2412,0.6874,0.2703,-0.393,1.1632,-0.0299,-0.0259,-1.215,0.0,0.1178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5934,0.2529,0.6321,0.6162,0.0328,0.0777,-0.0121,1.3193,0.0
2015,1009,0.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2711,-0.208,0.3969,0.3216,-0.6592,0.0554,0.0858,0.4,0.0,-0.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2412,0.6874,0.2703,-0.393,1.1632,-0.0299,-0.0259,-1.215,0.0
2016,1010,0.0134,0.0,0.6931,0.0513,0.0,0.0,0.1335,-0.0953,0.6931,0.0,-0.0063,0.0645,0.0,0.0,0.4055,-0.004,0.029,-0.0121,0.0,0.0,0.0,0.0,0.0953,0.0,0.0,0.0,0.0,-0.6931,0.0,0.0123,-0.2469,0.0,-0.3285,0.1542,0.0054,0.0095,-0.0373,0.0
